# Pāḷi glossary — agree these BEFORE translating prose.
"# Keep Pāḷi unchanged. One agreed rendering per term, used consistently everywhere."
"# hi: Rewata Dhamma, Abhidharma Prakasini (Hindi, Varanasi 1967)"
# zh: 摂阿毘達磨義論 (classical Chinese Abhidhamma rendering)
# zh_TW: 摂阿毘達磨義論 (traditional-script Chinese rendering)
"# si: Sri Lankan Abhidhamma teaching tradition (Sangaha, Sinhala script)"
# my: Myanmar let-than manual tradition (Abhidhammattha Sangaha)
# ja: 南伝大蔵経 65: 摂阿毘達磨義論 (tr. Mizuno Kogen) — avoid Mahayana senses

pali,category,vietnamese,english,hi,zh,zh_TW,si,my,ja,refs
Nevasaññā-nāsaññāyatana-kiriyaa-cittaṃ,cittas,Tâm Duy Tác Phi Tưởng Phi Phi Tưởng Xứ,Functional consciousness base of neither-perception-nor-non-perception,,,,,,,CI_105
Nevasaññā-nāsaññāyatana-kusalaa-cittaṃ,cittas,Tâm Thiện Phi Tưởng Phi Phi Tưởng Xứ,Wholesome consciousness base of neither-perception-nor-non-perception,,,,,,,CI_097
Nevasaññā-nāsaññāyatana-vipakaa-cittaṃ,cittas,Tâm Quả Thiện Phi Tưởng Phi Phi Tưởng Xứ,Resultant consciousness base of neither-perception-nor-non-perception,,,,,,,CI_101
Rūpāvacara-kiriyaa-catuttha-jhāna-cittaṃ,cittas,Tâm Duy Tác Sắc Giới Tứ Thiền,Rūpāvacara-kiriyaa-catuttha-jhāna-cittaṃ,,,,,,,CI_092
Rūpāvacara-kiriyaa-dutiya-jhāna-cittaṃ,cittas,Tâm Duy Tác Sắc Giới Nhị Thiền,Rūpāvacara-kiriyaa-dutiya-jhāna-cittaṃ,,,,,,,CI_090
Rūpāvacara-kiriyaa-pañcama-jhāna-cittaṃ,cittas,Tâm Duy Tác Sắc Giới Ngũ Thiền,Rūpāvacara-kiriyaa-pañcama-jhāna-cittaṃ,,,,,,,CI_093
Rūpāvacara-kiriyaa-paṭhama-jhāna-cittaṃ,cittas,Tâm Duy Tác Sắc Giới Sơ Thiền,Rūpāvacara-kiriyaa-paṭhama-jhāna-cittaṃ,,,,,,,CI_089
Rūpāvacara-kiriyaa-tatiya-jhāna-cittaṃ,cittas,Tâm Duy Tác Sắc Giới Tam Thiền,Rūpāvacara-kiriyaa-tatiya-jhāna-cittaṃ,,,,,,,CI_091
Rūpāvacara-kusalaa-catuttha-jhāna-cittaṃ,cittas,Tâm Thiện Sắc Giới Tứ Thiền,Rūpāvacara-kusalaa-catuttha-jhāna-cittaṃ,,,,,,,CI_082
Rūpāvacara-kusalaa-dutiya-jhāna-cittaṃ,cittas,Tâm Thiện Sắc Giới Nhị Thiền,Rūpāvacara-kusalaa-dutiya-jhāna-cittaṃ,,,,,,,CI_080
Rūpāvacara-kusalaa-pañcama-jhāna-cittaṃ,cittas,Tâm Thiện Sắc Giới Ngũ Thiền,Rūpāvacara-kusalaa-pañcama-jhāna-cittaṃ,,,,,,,CI_083
Rūpāvacara-kusalaa-paṭhama-jhāna-cittaṃ,cittas,Tâm Thiện Sắc Giới Sơ Thiền,Rūpāvacara-kusalaa-paṭhama-jhāna-cittaṃ,,,,,,,CI_079
Rūpāvacara-kusalaa-tatiya-jhāna-cittaṃ,cittas,Tâm Thiện Sắc Giới Tam Thiền,Rūpāvacara-kusalaa-tatiya-jhāna-cittaṃ,,,,,,,CI_081
Rūpāvacara-vipakaa-catuttha-jhāna-cittaṃ,cittas,Tâm Quả Thiện Sắc Giới Tứ Thiền,Rūpāvacara-vipakaa-catuttha-jhāna-cittaṃ,,,,,,,CI_087
Rūpāvacara-vipakaa-dutiya-jhāna-cittaṃ,cittas,Tâm Quả Thiện Sắc Giới Nhị Thiền,Rūpāvacara-vipakaa-dutiya-jhāna-cittaṃ,,,,,,,CI_085
Rūpāvacara-vipakaa-pañcama-jhāna-cittaṃ,cittas,Tâm Quả Thiện Sắc Giới Ngũ Thiền,Rūpāvacara-vipakaa-pañcama-jhāna-cittaṃ,,,,,,,CI_088
Rūpāvacara-vipakaa-paṭhama-jhāna-cittaṃ,cittas,Tâm Quả Thiện Sắc Giới Sơ Thiền,Rūpāvacara-vipakaa-paṭhama-jhāna-cittaṃ,,,,,,,CI_084
Rūpāvacara-vipakaa-tatiya-jhāna-cittaṃ,cittas,Tâm Quả Thiện Sắc Giới Tam Thiền,Rūpāvacara-vipakaa-tatiya-jhāna-cittaṃ,,,,,,,CI_086
Sakadāgāmi-magga-catuttha-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Đạo Tứ Thiền,Sakadāgāmi-magga-catuttha-jhāna-cittaṃ,,,,,,,CI_114
Sakadāgāmi-magga-dutiya-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Đạo Nhị Thiền,Sakadāgāmi-magga-dutiya-jhāna-cittaṃ,,,,,,,CI_112
Sakadāgāmi-magga-pañcama-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Đạo Ngũ Thiền,Sakadāgāmi-magga-pañcama-jhāna-cittaṃ,,,,,,,CI_115
Sakadāgāmi-magga-paṭhama-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Đạo Sơ Thiền,Sakadāgāmi-magga-paṭhama-jhāna-cittaṃ,,,,,,,CI_111
Sakadāgāmi-magga-tatiya-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Đạo Tam Thiền,Sakadāgāmi-magga-tatiya-jhāna-cittaṃ,,,,,,,CI_113
Sakadāgāmi-phala-catuttha-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Quả Tứ Thiền,Sakadāgāmi-phala-catuttha-jhāna-cittaṃ,,,,,,,CI_134
Sakadāgāmi-phala-dutiya-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Quả Nhị Thiền,Sakadāgāmi-phala-dutiya-jhāna-cittaṃ,,,,,,,CI_132
Sakadāgāmi-phala-pañcama-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Quả Ngũ Thiền,Sakadāgāmi-phala-pañcama-jhāna-cittaṃ,,,,,,,CI_135
Sakadāgāmi-phala-paṭhama-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Quả Sơ Thiền,Sakadāgāmi-phala-paṭhama-jhāna-cittaṃ,,,,,,,CI_131
Sakadāgāmi-phala-tatiya-jhāna-cittaṃ,cittas,Tâm Nhứt Lai Quả Tam Thiền,Sakadāgāmi-phala-tatiya-jhāna-cittaṃ,,,,,,,CI_133
Somanassa-sahagataṃ Diṭṭhigatasampayuttaṃ Asaṅkhārikaṃ,cittas,Tâm Tham Thọ Hỷ Hợp Tà Vô Trợ,Greed-rooted consciousness with joy associated with wrong view unprompted,,,,,,,CI_001
Somanassa-sahagataṃ Diṭṭhigatasampayuttaṃ Sasaṅkhārikaṃ,cittas,Tâm Tham Thọ Hỷ Hợp Tà Hữu Trợ,Greed-rooted consciousness with joy associated with wrong view prompted,,,,,,,CI_002
Somanassa-sahagataṃ Diṭṭhigatavippayuttaṃ Asaṅkhārikaṃ,cittas,Tâm Tham Thọ Hỷ Ly Tà Vô Trợ,Greed-rooted consciousness with joy dissociated from wrong view unprompted,,,,,,,CI_003
Somanassa-sahagataṃ Diṭṭhigatavippayuttaṃ Sasaṅkhārikaṃ,cittas,Tâm Tham Thọ Hỷ Ly Tà Hữu Trợ,Greed-rooted consciousness with joy dissociated from wrong view prompted,,,,,,,CI_004
Somanassa-sahagataṃ hasituppāda-cittaṃ,cittas,Ưng Cúng Vi Tiếu Thọ Hỷ (Tâm Sinh Tiếu A-la-hán),Somanassa-sahagataṃ hasituppāda-cittaṃ,,,,,,,CI_030
Somanassa-sahagataṃ kusalavipākaṃ santīraṇa-cittaṃ,cittas,Quan Sát Thọ Hỷ Quả Thiện Vô Nhân,Somanassa-sahagataṃ kusalavipākaṃ santīraṇa-cittaṃ,,,,,,,CI_027
Somanassa-sahagataṃ ñāṇasampayuttaṃ asaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Hỷ Hợp Trí Vô Trợ,Great wholesome consciousness with joy associated with knowledge unprompted,,,,,,,CI_055 CI_063 CI_071
Somanassa-sahagataṃ ñāṇasampayuttaṃ sasaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Hỷ Hợp Trí Hữu Trợ,Great wholesome consciousness with joy associated with knowledge prompted,,,,,,,CI_056 CI_064 CI_072
Somanassa-sahagataṃ ñāṇavippayuttaṃ asaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Hỷ Ly Trí Vô Trợ,Great wholesome consciousness with joy dissociated from knowledge unprompted,,,,,,,CI_057 CI_065 CI_073
Somanassa-sahagataṃ ñāṇavippayuttaṃ sasaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Hỷ Ly Trí Hữu Trợ,Great wholesome consciousness with joy dissociated from knowledge prompted,,,,,,,CI_058 CI_066 CI_074
Sotāpatti-magga-catuttha-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Đạo Tứ Thiền,Sotāpatti-magga-catuttha-jhāna-cittaṃ,,,,,,,CI_109
Sotāpatti-magga-dutiya-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Đạo Nhị Thiền,Sotāpatti-magga-dutiya-jhāna-cittaṃ,,,,,,,CI_107
Sotāpatti-magga-pañcama-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Đạo Ngũ Thiền,Sotāpatti-magga-pañcama-jhāna-cittaṃ,,,,,,,CI_110
Sotāpatti-magga-paṭhama-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Đạo Sơ Thiền,Sotāpatti-magga-paṭhama-jhāna-cittaṃ,,,,,,,CI_106
Sotāpatti-magga-tatiya-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Đạo Tam Thiền,Sotāpatti-magga-tatiya-jhāna-cittaṃ,,,,,,,CI_108
Sotāpatti-phala-catuttha-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Quả Tứ Thiền,Sotāpatti-phala-catuttha-jhāna-cittaṃ,,,,,,,CI_129
Sotāpatti-phala-dutiya-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Quả Nhị Thiền,Sotāpatti-phala-dutiya-jhāna-cittaṃ,,,,,,,CI_127
Sotāpatti-phala-pañcama-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Quả Ngũ Thiền,Sotāpatti-phala-pañcama-jhāna-cittaṃ,,,,,,,CI_130
Sotāpatti-phala-paṭhama-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Quả Sơ Thiền,Sotāpatti-phala-paṭhama-jhāna-cittaṃ,,,,,,,CI_126
Sotāpatti-phala-tatiya-jhāna-cittaṃ,cittas,Tâm Nhập Lưu Quả Tam Thiền,Sotāpatti-phala-tatiya-jhāna-cittaṃ,,,,,,,CI_128
Sukha-sahagataṃ kusalavipākaṃ kāya-viññāṇaṃ,cittas,Thân Thức Thọ Lạc Quả Thiện Vô Nhân,Sukha-sahagataṃ kusalavipākaṃ kāya-viññāṇaṃ,,,,,,,CI_024
Upekkhā-sahagataṃ akusalavipākaṃ cakkhu-viññāṇaṃ,cittas,Nhãn Thức Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ cakkhu-viññāṇaṃ,,,,,,,CI_013
Upekkhā-sahagataṃ akusalavipākaṃ ghāna-viññāṇaṃ,cittas,Tỷ Thức Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ ghāna-viññāṇaṃ,,,,,,,CI_015
Upekkhā-sahagataṃ akusalavipākaṃ jivhā-viññāṇaṃ,cittas,Thiệt Thức Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ jivhā-viññāṇaṃ,,,,,,,CI_016
Upekkhā-sahagataṃ akusalavipākaṃ sampaṭicchana-cittaṃ,cittas,Tiếp Thâu Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ sampaṭicchana-cittaṃ,,,,,,,CI_018
Upekkhā-sahagataṃ akusalavipākaṃ santīraṇa-cittaṃ,cittas,Quan Sát Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ santīraṇa-cittaṃ,,,,,,,CI_019
Upekkhā-sahagataṃ akusalavipākaṃ sota-viññāṇaṃ,cittas,Nhĩ Thức Thọ Xả Quả Bất Thiện Vô Nhân,Upekkhā-sahagataṃ akusalavipākaṃ sota-viññāṇaṃ,,,,,,,CI_014
Upekkhā-sahagataṃ Diṭṭhigatasampayuttaṃ Asaṅkhārikaṃ,cittas,Tâm Tham Thọ Xả Hợp Tà Vô Trợ,Greed-rooted consciousness with equanimity associated with wrong view unprompted,,,,,,,CI_005
Upekkhā-sahagataṃ Diṭṭhigatasampayuttaṃ Sasaṅkhārikaṃ,cittas,Tâm Tham Thọ Xả Hợp Tà Hữu Trợ,Greed-rooted consciousness with equanimity associated with wrong view prompted,,,,,,,CI_006
Upekkhā-sahagataṃ Diṭṭhigatavippayuttaṃ Asaṅkhārikaṃ,cittas,Tâm Tham Thọ Xả Ly Tà Vô Trợ,Greed-rooted consciousness with equanimity dissociated from wrong view unprompted,,,,,,,CI_007
Upekkhā-sahagataṃ Diṭṭhigatavippayuttaṃ Sasaṅkhārikaṃ,cittas,Tâm Tham Thọ Xả Ly Tà Hữu Trợ,Greed-rooted consciousness with equanimity dissociated from wrong view prompted,,,,,,,CI_008
Upekkhā-sahagataṃ kusalavipākaṃ cakkhu-viññāṇaṃ,cittas,Nhãn Thức Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ cakkhu-viññāṇaṃ,,,,,,,CI_020
Upekkhā-sahagataṃ kusalavipākaṃ ghāna-viññāṇaṃ,cittas,Tỷ Thức Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ ghāna-viññāṇaṃ,,,,,,,CI_022
Upekkhā-sahagataṃ kusalavipākaṃ jivhā-viññāṇaṃ,cittas,Thiệt Thức Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ jivhā-viññāṇaṃ,,,,,,,CI_023
Upekkhā-sahagataṃ kusalavipākaṃ sampaṭicchana-cittaṃ,cittas,Tiếp Thâu Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ sampaṭicchana-cittaṃ,,,,,,,CI_025
Upekkhā-sahagataṃ kusalavipākaṃ santīraṇa-cittaṃ,cittas,Quan Sát Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ santīraṇa-cittaṃ,,,,,,,CI_026
Upekkhā-sahagataṃ kusalavipākaṃ sota-viññāṇaṃ,cittas,Nhĩ Thức Thọ Xả Quả Thiện Vô Nhân,Upekkhā-sahagataṃ kusalavipākaṃ sota-viññāṇaṃ,,,,,,,CI_021
Upekkhā-sahagataṃ manodvārāvajjana-cittaṃ,cittas,Khán Ý Môn Thọ Xả,Mind-door adverting consciousness with equanimity,,,,,,,CI_029
Upekkhā-sahagataṃ pañcadvārāvajjana-cittaṃ,cittas,Khán Ngũ Môn Thọ Xả,Five-sense-door adverting consciousness with equanimity,,,,,,,CI_028
Upekkhā-sahagataṃ Uddhaccasampayuttaṃ,cittas,Tâm Si Thọ Xả Hợp Phóng Dật,Delusion-rooted consciousness with equanimity associated with restlessness,,,,,,,CI_012
Upekkhā-sahagataṃ Vicikicchāsampayuttaṃ,cittas,Tâm Si Thọ Xả Hợp Hoài Nghi,Delusion-rooted consciousness with equanimity associated with doubt,,,,,,,CI_011
Upekkhā-sahagataṃ ñāṇasampayuttaṃ asaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Xả Hợp Trí Vô Trợ,Great wholesome consciousness with equanimity associated with knowledge unprompted,,,,,,,CI_059 CI_067 CI_075
Upekkhā-sahagataṃ ñāṇasampayuttaṃ sasaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Xả Hợp Trí Hữu Trợ,Great wholesome consciousness with equanimity associated with knowledge prompted,,,,,,,CI_060 CI_068 CI_076
Upekkhā-sahagataṃ ñāṇavippayuttaṃ asaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Xả Ly Trí Vô Trợ,Great wholesome consciousness with equanimity dissociated from knowledge unprompted,,,,,,,CI_061 CI_069 CI_077
Upekkhā-sahagataṃ ñāṇavippayuttaṃ sasaṅkhārikaṃ,cittas,Tâm Đại Thiện Thọ Xả Ly Trí Hữu Trợ,Great wholesome consciousness with equanimity dissociated from knowledge prompted,,,,,,,CI_062 CI_070 CI_078
Viññāṇañcāyatana-kiriyaa-cittaṃ,cittas,Tâm Duy Tác Thức Vô Biên Xứ,Functional consciousness base of infinite consciousness,,,,,,,CI_103
Viññāṇañcāyatana-kusalaa-cittaṃ,cittas,Tâm Thiện Thức Vô Biên Xứ,Wholesome consciousness base of infinite consciousness,,,,,,,CI_095
Viññāṇañcāyatana-vipakaa-cittaṃ,cittas,Tâm Quả Thiện Thức Vô Biên Xứ,Resultant consciousness base of infinite consciousness,,,,,,,CI_099
Ākiñcaññāyatana-kiriyaa-cittaṃ,cittas,Tâm Duy Tác Vô Sở Hữu Xứ,Functional consciousness base of nothingness,,,,,,,CI_104
Ākiñcaññāyatana-kusalaa-cittaṃ,cittas,Tâm Thiện Vô Sở Hữu Xứ,Wholesome consciousness base of nothingness,,,,,,,CI_096
Ākiñcaññāyatana-vipakaa-cittaṃ,cittas,Tâm Quả Thiện Vô Sở Hữu Xứ,Resultant consciousness base of nothingness,,,,,,,CI_100
Ākāsānañcāyatana-kiriyaa-cittaṃ,cittas,Tâm Duy Tác Không Vô Biên Xứ,Functional consciousness base of infinite space,,,,,,,CI_102
Ākāsānañcāyatana-kusalaa-cittaṃ,cittas,Tâm Thiện Không Vô Biên Xứ,Wholesome consciousness base of infinite space,,,,,,,CI_094
Ākāsānañcāyatana-vipakaa-cittaṃ,cittas,Tâm Quả Thiện Không Vô Biên Xứ,Resultant consciousness base of infinite space,,,,,,,CI_098
